Pixel,Intensity
65.4359724835757,1155
67.8929063223868,1188
70.3492508715027,1248
72.8050061309236,1216
75.2601721006495,1238
77.71474878068,1205
80.1687361710157,1158
82.6221342716561,1238
85.0749430826014,1344
87.5271626038517,1358
89.9787928354067,1336
92.4298337772667,1261
94.8802854294316,1233
97.3301477919014,1278
99.7794208646761,1299
102.228104647756,1341
104.67619914114,1324
107.12370434483,1252
109.570620258824,1255
112.016946883123,1360
114.462684217727,1521
116.907832262636,1484
119.35239101785,1392
121.796360483368,1436
124.239740659192,1320
126.68253154532,1286
129.124733141754,1230
131.566345448492,1256
134.007368465535,1249
136.447802192883,1241
138.887646630536,1133
141.326901778494,1161
143.765567636757,1065
146.203644205324,1104
148.641131484197,1140
151.078029473374,1106
153.514338172857,1091
155.950057582644,1033
158.385187702736,1065
160.819728533133,1088
163.253680073835,1047
165.687042324842,1074
168.119815286153,1122
170.55199895777,1056
172.983593339691,1072
175.414598431917,1085
177.845014234449,1134
180.274840747285,1121
182.704077970426,1067
185.132725903872,1020
187.560784547622,1051
189.988253901678,991
192.415133966039,1026
194.841424740704,1022
197.267126225674,1036
199.692238420949,1022
202.11676132653,1064
204.540694942415,1106
206.964039268605,1088
209.386794305099,1136
211.808960051899,1075
214.230536509004,1167
216.651523676413,1124
219.071921554127,1155
221.491730142147,1122
223.910949440471,1164
226.3295794491,1156
228.747620168034,1141
231.165071597272,1221
233.581933736816,1217
235.998206586665,1256
238.413890146818,1340
240.828984417277,1305
243.24348939804,1291
245.657405089108,1208
248.070731490481,1373
250.483468602159,1385
252.895616424142,1372
255.30717495643,1439
257.718144199022,1414
260.12852415192,1411
262.538314815122,1396
264.947516188629,1304
267.356128272442,1302
269.764151066559,1291
272.17158457098,1205
274.578428785707,1236
276.984683710739,1211
279.390349346076,1212
281.795425691717,1255
284.199912747664,1212
286.603810513915,1216
289.007118990471,1217
291.409838177332,1202
293.811968074498,1246
296.213508681969,1173
298.614459999745,1140
301.014822027826,1146
303.414594766211,1103
305.813778214901,1043
308.212372373897,1082
310.610377243197,1027
313.007792822802,1002
315.404619112712,1004
317.800856112927,1000
320.196503823447,1052
322.591562244271,1048
324.986031375401,1029
327.379911216835,973
329.773201768575,954
332.165903030619,939
334.558015002968,928
336.949537685622,968
339.340471078581,965
341.730815181845,956
344.120569995414,929
346.509735519287,906
348.898311753466,922
351.286298697949,923
353.673696352737,897
356.06050471783,888
358.446723793229,864
360.832353578931,892
363.217394074939,889
365.601845281252,890
367.985707197869,883
370.368979824792,887
372.751663162019,874
375.133757209552,868
377.515261967389,895
379.896177435531,848
382.276503613978,839
384.65624050273,857
387.035388101787,841
389.413946411148,843
391.791915430815,865
394.169295160786,916
396.546085601062,890
398.922286751643,892
401.29789861253,879
403.672921183721,869
406.047354465216,897
408.421198457017,914
410.794453159123,903
413.167118571533,905
415.539194694249,925
417.910681527269,860
420.281579070594,931
422.651887324224,851
425.021606288159,868
427.390735962399,884
429.759276346944,849
432.127227441794,827
434.494589246948,840
436.861361762408,818
439.227544988172,801
441.593138924241,763
443.958143570615,829
446.322558927294,835
448.686384994278,770
451.049621771567,782
453.412269259161,821
455.774327457059,822
458.135796365263,854
460.496675983771,839
462.856966312584,882
465.216667351703,924
467.575779101126,868
469.934301560854,932
472.292234730886,981
474.649578611224,996
477.006333201867,1041
479.362498502814,1119
481.718074514067,1172
484.073061235624,1273
486.427458667486,1375
488.781266809653,1620
491.134485662125,1821
493.487115224902,2219
495.839155497984,2407
498.19060648137,2669
500.541468175062,2601
502.891740579058,2394
505.241423693359,2137
507.590517517966,1825
509.939022052877,1685
512.286937298093,1660
514.634263253613,1858
516.980999919439,1991
519.32714729557,2033
521.672705382005,2147
524.017674178746,1809
526.362053685791,1351
528.705843903141,1019
531.049044830796,911
533.391656468756,825
535.733678817021,831
538.075111875591,815
540.415955644466,748
542.756210123645,745
545.09587531313,750
547.434951212919,767
549.773437823013,736
552.111335143412,736
554.448643174116,714
556.785361915125,714
559.121491366439,701
561.457031528058,719
563.791982399981,718
566.12634398221,699
568.460116274743,716
570.793299277581,699
573.125892990724,717
575.457897414173,708
577.789312547925,689
580.120138391983,723
582.450374946346,711
584.780022211013,729
587.109080185986,714
589.437548871264,778
591.765428266846,732
594.092718372733,722
596.419419188925,724
598.745530715422,754
601.071052952224,759
603.395985899331,752
605.720329556742,714
608.044083924458,730
610.36724900248,725
612.689824790806,762
615.011811289437,756
617.333208498373,705
619.654016417614,728
621.97423504716,714
624.293864387011,725
626.612904437166,737
628.931355197627,740
631.249216668392,736
633.566488849463,783
635.883171740838,739
638.199265342518,744
640.514769654503,783
642.829684676793,757
645.144010409388,774
647.457746852287,779
649.770894005492,744
652.083451869001,795
654.395420442816,761
656.706799726935,726
659.017589721359,805
661.327790426088,733
663.637401841122,744
665.946423966461,781
668.254856802104,725
670.562700348053,735
672.869954604306,758
675.176619570865,752
677.482695247728,714
679.788181634896,715
682.093078732369,750
684.397386540147,753
686.70110505823,719
689.004234286617,714
691.30677422531,737
693.608724874308,733
695.91008623361,703
698.210858303217,755
700.511041083129,722
702.810634573347,710
705.109638773868,685
707.408053684695,704
709.705879305827,739
712.003115637263,723
714.299762679005,706
716.595820431051,716
718.891288893403,721
721.186168066059,701
723.48045794902,710
725.774158542286,690
728.067269845857,700
730.359791859732,695
732.651724583913,709
734.943068018399,679
737.233822163189,715
739.523987018284,720
741.813562583684,717
744.102548859389,699
746.3909458454,726
748.678753541715,698
750.965971948334,691
753.252601065259,695
755.538640892488,707
757.824091430023,712
760.108952677862,695
762.393224636006,700
764.676907304455,676
766.960000683209,720
769.242504772268,713
771.524419571632,702
773.805745081301,725
776.086481301274,695
778.366628231553,675
780.646185872136,734
782.925154223024,685
785.203533284217,711
787.481323055715,700
789.758523537518,718
792.035134729626,727
794.311156632039,699
796.586589244756,706
798.861432567779,684
801.135686601106,702
803.409351344738,729
805.682426798676,715
807.954912962917,731
810.226809837465,733
812.498117422316,720
814.768835717473,722
817.038964722935,725
819.308504438701,734
821.577454864772,716
823.845816001149,722
826.11358784783,741
828.380770404816,706
830.647363672107,740
832.913367649703,733
835.178782337603,721
837.443607735809,746
839.70784384432,706
841.971490663135,727
844.234548192255,729
846.497016431681,733
848.758895381411,749
851.020185041446,745
853.280885411786,715
855.54099649243,721
857.80051828338,722
860.059450784634,742
862.317793996194,740
864.575547918058,758
866.832712550227,749
869.089287892701,733
871.345273945481,750
873.600670708564,795
875.855478181953,729
878.109696365647,789
880.363325259645,770
882.616364863949,824
884.868815178557,816
887.12067620347,818
889.371947938688,788
891.622630384212,836
893.872723540039,787
896.122227406172,838
898.37114198261,893
900.619467269352,873
902.8672032664,859
905.114349973752,894
907.360907391409,833
909.606875519372,867
911.852254357638,895
914.097043906211,863
916.341244165087,858
918.584855134269,868
920.827876813756,857
923.070309203547,873
925.312152303643,893
927.553406114045,848
929.794070634751,878
932.034145865762,872
934.273631807078,898
936.512528458699,876
938.750835820624,900
940.988553892855,877
943.225682675391,847
945.462222168231,849
947.698172371376,844
949.933533284827,862
952.168304908581,867
954.402487242641,825
956.636080287007,833
958.869084041676,786
961.101498506651,794
963.33332368193,797
965.564559567515,791
967.795206163404,775
970.025263469598,773
972.254731486097,817
974.483610212901,792
976.71189965001,786
978.939599797424,791
981.166710655143,782
983.393232223166,806
985.619164501494,760
987.844507490128,792
990.069261189066,733
992.293425598309,725
994.517000717857,759
996.73998654771,746
998.962383087868,709
1001.18419033833,733
1003.4054082991,696
1005.62603697017,689
1007.84607635155,701
1010.06552644323,677
1012.28438724522,658
1014.50265875751,676
1016.72034098011,684
1018.93743391301,681
1021.15393755621,662
1023.36985190973,670
1025.58517697354,651
1027.79991274766,692
1030.01405923209,658
1032.22761642682,690
1034.44058433186,676
1036.6529629472,694
1038.86475227284,682
1041.0759523088,684
1043.28656305505,675
1045.49658451161,653
1047.70601667848,622
1049.91485955565,643
1052.12311314312,648
1054.3307774409,675
1056.53785244899,670
1058.74433816738,649
1060.95023459607,659
1063.15554173507,662
1065.36025958438,651
1067.56438814399,657
1069.7679274139,653
1071.97087739412,643
1074.17323808464,646
1076.37500948547,646
1078.57619159661,665
1080.77678441804,687
1082.97678794979,632
1085.17620219184,642
1087.37502714419,655
1089.57326280685,660
1091.77090917981,631
1093.96796626308,637
1096.16443405665,627
1098.36031256053,638
1100.55560177471,634
1102.7503016992,649
1104.94441233399,645
1107.13793367909,638
1109.33086573449,640
1111.5232085002,624
1113.71496197621,619
1115.90612616253,610
1118.09670105915,654
1120.28668666608,622
1122.47608298331,587
1124.66489001085,631
1126.85310774869,625
1129.04073619683,586
1131.22777535529,640
1133.41422522404,624
1135.6000858031,628
1137.78535709247,641
1139.97003909214,656
1142.15413180212,626
1144.3376352224,652
1146.52054935298,652
1148.70287419387,671
1150.88460974507,612
1153.06575600657,644
1155.24631297837,604
1157.42628066048,609
1159.6056590529,625
1161.78444815562,624
1163.96264796864,615
1166.14025849197,644
1168.31727972561,637
1170.49371166954,620
1172.66955432379,615
1174.84480768834,607
1177.01947176319,595
1179.19354654835,640
1181.36703204381,638
1183.53992824958,641
1185.71223516566,629
1187.88395279204,641
1190.05508112872,622
1192.22562017571,625
1194.395569933,628
1196.5649304006,653
1198.7337015785,603
1200.90188346671,682
1203.06947606522,634
1205.23647937404,639
1207.40289339316,628
1209.56871812259,644
1211.73395356232,630
1213.89859971236,636
1216.0626565727,639
1218.22612414335,636
1220.3890024243,622
1222.55129141556,616
1224.71299111712,636
1226.87410152898,679
1229.03462265115,653
1231.19455448363,633
1233.35389702641,643
1235.5126502795,625
1237.67081424289,655
1239.82838891658,662
1241.98537430059,667
1244.14177039489,625
1246.2975771995,640
1248.45279471442,668
1250.60742293964,645
1252.76146187516,669
1254.91491152099,673
1257.06777187713,656
1259.22004294357,687
1261.37172472031,670
1263.52281720736,685
1265.67332040472,684
1267.82323431238,661
1269.97255893034,694
1272.12129425861,687
1274.26944029718,692
1276.41699704606,672
1278.56396450525,667
1280.71034267473,690
1282.85613155453,694
1285.00133114463,669
1287.14594144503,695
1289.28996245574,684
1291.43339417675,687
1293.57623660807,701
1295.71848974969,707
1297.86015360162,709
1300.00122816385,700
1302.14171343639,726
1304.28160941923,711
1306.42091611238,706
1308.55963351583,734
1310.69776162959,675
1312.83530045365,714
1314.97224998802,687
1317.10861023269,713
1319.24438118767,688
1321.37956285295,736
1323.51415522854,720
1325.64815831443,723
1327.78157211062,676
1329.91439661713,704
1332.04663183393,734
1334.17827776104,714
1336.30933439846,668
1338.43980174618,706
1340.56967980421,712
1342.69896857254,743
1344.82766805117,739
1346.95577824011,701
1349.08329913936,682
1351.21023074891,699
1353.33657306876,694
1355.46232609892,710
1357.58748983939,680
1359.71206429016,727
1361.83604945123,725
1363.95944532261,680
1366.0822519043,754
1368.20446919628,722
1370.32609719858,709
1372.44713591118,717
1374.56758533408,708
1376.68744546729,702
1378.8067163108,728
1380.92539786462,745
1383.04349012875,728
1385.16099310317,779
1387.27790678791,751
1389.39423118295,726
1391.50996628829,726
1393.62511210394,712
1395.73966862989,720
1397.85363586615,721
1399.96701381271,720
1402.07980246958,741
1404.19200183675,723
1406.30361191423,770
1408.41463270201,751
1410.5250642001,743
1412.63490640849,799
1414.74415932719,805
1416.85282295619,795
1418.96089729549,792
1421.06838234511,841
1423.17527810502,809
1425.28158457524,805
1427.38730175577,789
1429.4924296466,815
1431.59696824774,869
1433.70091755918,845
1435.80427758092,849
1437.90704831297,873
1440.00922975533,831
1442.11082190799,905
1444.21182477096,894
1446.31223834423,923
1448.4120626278,902
1450.51129762168,921
1452.60994332587,922
1454.70799974036,958
1456.80546686515,1011
1458.90234470025,1011
1460.99863324566,1013
1463.09433250136,1089
1465.18944246738,1102
1467.2839631437,1071
1469.37789453032,1093
1471.47123662725,1124
1473.56398943448,1131
1475.65615295202,1192
1477.74772717987,1239
1479.83871211802,1196
1481.92910776647,1266
1484.01891412523,1275
1486.10813119429,1295
1488.19675897366,1279
1490.28479746333,1349
1492.37224666331,1349
1494.45910657359,1347
1496.54537719418,1428
1498.63105852507,1465
1500.71615056627,1435
1502.80065331777,1443
1504.88456677958,1470
1506.96789095169,1525
1509.05062583411,1509
1511.13277142683,1503
1513.21432772986,1544
1515.29529474319,1574
1517.37567246683,1569
1519.45546090077,1553
1521.53466004501,1559
1523.61326989956,1632
1525.69129046442,1658
1527.76872173958,1681
1529.84556372505,1638
1531.92181642082,1659
1533.99747982689,1612
1536.07255394327,1706
1538.14703876996,1710
1540.22093430695,1680
1542.29424055425,1720
1544.36695751185,1762
1546.43908517975,1700
1548.51062355796,1754
1550.58157264648,1750
1552.6519324453,1734
1554.72170295442,1786
1556.79088417385,1730
1558.85947610358,1813
1560.92747874362,1869
1562.99489209397,1885
1565.06171615462,1987
1567.12795092557,2048
1569.19359640683,2004
1571.25865259839,2096
1573.32311950026,2065
1575.38699711243,2031
1577.45028543491,2017
1579.5129844677,1945
1581.57509421078,1901
1583.63661466418,1853
1585.69754582788,1798
1587.75788770188,1760
1589.81764028619,1657
1591.8768035808,1569
1593.93537758572,1409
1595.99336230094,1359
1598.05075772647,1310
1600.1075638623,1213
1602.16378070844,1156
1604.21940826488,1162
1606.27444653162,1145
1608.32889550868,1118
1610.38275519603,1043
1612.43602559369,1022
1614.48870670166,994
1616.54079851993,964
1618.59230104851,906
1620.64321428739,920
1622.69353823658,911
1624.74327289607,898
1626.79241826586,885
1628.84097434596,839
1630.88894113637,812
1632.93631863708,820
1634.98310684809,839
1637.02930576941,808
1639.07491540104,779
1641.11993574297,759
1643.1643667952,760
1645.20820855774,745
1647.25146103059,729
1649.29412421374,747
1651.33619810719,794
1653.37768271095,754
1655.41857802502,767
1657.45888404939,743
1659.49860078406,764
1661.53772822904,721
1663.57626638432,734
1665.61421524991,711
1667.65157482581,731
1669.688345112,751
1671.72452610851,728
1673.76011781532,728
1675.79512023243,735
1677.82953335985,756
1679.86335719757,694
1681.8965917456,722
1683.92923700393,738
1685.96129297257,761
1687.99275965151,678
1690.02363704076,721
1692.05392514031,749
1694.08362395017,724
1696.11273347033,722
1698.1412537008,691
1700.16918464157,716
1702.19652629265,677
1704.22327865403,708
1706.24944172571,718
1708.2750155077,691
1710.3,702
1712.3243952026,703
1714.34820111551,712
1716.37141773872,671
1718.39404507224,720
1720.41608311606,686
1722.43753187018,705
1724.45839133461,665
1726.47866150935,675
1728.49834239439,677
1730.51743398973,697
1732.53593629538,709
1734.55384931134,686
1736.5711730376,670
1738.58790747416,674
1740.60405262103,675
1742.61960847821,666
1744.63457504569,682
1746.64895232347,686
1748.66274031156,684
1750.67593900995,673
1752.68854841865,665
1754.70056853766,669
1756.71199936697,644
1758.72284090658,630
1760.7330931565,625
1762.74275611672,674
1764.75182978725,629
1766.76031416808,635
1768.76820925922,615
1770.77551506066,614
1772.78223157241,617
1774.78835879447,618
1776.79389672682,634
1778.79884536949,667
1780.80320472245,617
1782.80697478573,637
1784.8101555593,627
1786.81274704319,636
1788.81474923737,628
1790.81616214186,580
1792.81698575666,617
1794.81722008176,615
1796.81686511717,648
1798.81592086288,605
1800.8143873189,604
1802.81226448522,630
1804.80955236185,617
1806.80625094878,607
1808.80236024601,600
1810.79788025355,592
1812.7928109714,624
1814.78715239955,626
1816.78090453801,594
1818.77406738677,628
1820.76664094583,608
1822.7586252152,616
1824.75002019488,628
1826.74082588486,608
1828.73104228514,632
1830.72066939573,565
1832.70970721663,591
1834.69815574783,611
1836.68601498933,582
1838.67328494114,592
1840.65996560325,609
1842.64605697567,584
1844.6315590584,622
1846.61647185143,576
1848.60079535476,571
1850.5845295684,628
1852.56767449234,617
1854.55023012659,610
1856.53219647114,579
1858.513573526,567
1860.49436129117,586
1862.47455976663,607
1864.45416895241,590
1866.43318884848,593
1868.41161945487,581
1870.38946077155,624
1872.36671279855,590
1874.34337553584,597
1876.31944898345,614
1878.29493314135,580
1880.26982800957,604
1882.24413358808,630
1884.2178498769,590
1886.19097687603,607
1888.16351458546,597
1890.1354630052,596
1892.10682213524,596
1894.07759197559,629
1896.04777252624,578
1898.01736378719,626
1899.98636575846,604
1901.95477844002,641
1903.92260183189,642
1905.88983593407,636
1907.85648074655,621
1909.82253626933,627
1911.78800250242,629
1913.75287944582,653
1915.71716709952,630
1917.68086546352,659
1919.64397453783,632
1921.60649432245,639
1923.56842481737,641
1925.52976602259,625
1927.49051793812,605
1929.45068056396,608
1931.4102539001,655
1933.36923794654,619
1935.32763270329,635
1937.28543817034,620
1939.2426543477,627
1941.19928123537,605
1943.15531883333,610
1945.11076714161,609
1947.06562616019,614
1949.01989588907,630
1950.97357632826,593
1952.92666747775,633
1954.87916933755,632
1956.83108190765,649
1958.78240518806,588
1960.73313917877,595
1962.68328387979,620
1964.63283929111,649
1966.58180541274,626
1968.53018224467,595
1970.47796978691,598
1972.42516803945,627
1974.3717770023,623
1976.31779667545,595
1978.26322705891,614
1980.20806815267,618
1982.15231995673,585
1984.0959824711,595
1986.03905569578,601
1987.98153963076,581
1989.92343427605,596
1991.86473963164,586
1993.80545569753,590
1995.74558247374,585
1997.68511996024,588
1999.62406815705,583
2001.56242706417,589
2003.50019668159,578
2005.43737700931,594
2007.37396804734,578
2009.30996979568,532
2011.24538225432,569
2013.18020542326,563
2015.11443930251,565
2017.04808389207,598
2018.98113919193,578
2020.91360520209,559
2022.84548192256,580
2024.77676935333,572
2026.70746749441,556
2028.6375763458,577
2030.56709590748,587
2032.49602617948,570
2034.42436716178,576
2036.35211885438,589
2038.27928125729,560
2040.2058543705,570
2042.13183819402,564
2044.05723272784,564
2045.98203797197,591
2047.9062539264,566
2049.82988059114,577
2051.75291796618,561
2053.67536605153,552
2055.59722484718,553
2057.51849435314,561
2059.4391745694,563
2061.35926549597,551
2063.27876713284,556
2065.19767948002,549
2067.1160025375,563
2069.03373630528,580
2070.95088078338,565
2072.86743597177,585
2074.78340187047,569
2076.69877847948,568
2078.61356579879,556
2080.52776382841,589
2082.44137256833,579
2084.35439201855,565
2086.26682217908,568
2088.17866304992,545
2090.08991463106,569
2092.0005769225,559
2093.91064992425,566
2095.82013363631,554
2097.72902805867,561
2099.63733319133,585
2101.5450490343,537
2103.45217558758,540
2105.35871285116,570
2107.26466082504,557
2109.17001950923,559
2111.07478890373,572
2112.97896900852,602
2114.88255982363,554
2116.78556134904,580
2118.68797358475,562
2120.58979653077,556
2122.49103018709,548
2124.39167455372,562
2126.29172963066,553
2128.19119541789,569
2130.09007191544,587
2131.98835912328,569
2133.88605704144,546
2135.78316566989,581
2137.67968500866,554
2139.57561505772,556
2141.4709558171,573
2143.36570728677,577
2145.25986946676,586
2147.15344235704,566
2149.04642595764,567
2150.93882026853,572
2152.83062528973,556
2154.72184102124,557
2156.61246746305,573
2158.50250461517,532
2160.39195247759,560
2162.28081105032,577
2164.16908033335,592
2166.05676032668,567
2167.94385103032,565
2169.83035244427,559
2171.71626456852,559
2173.60158740308,567
2175.48632094794,564
2177.3704652031,538
2179.25402016857,582
2181.13698584435,566
2183.01936223043,591
2184.90114932681,564
2186.7823471335,579
2188.6629556505,580
2190.5429748778,554
2192.4224048154,576
2194.30124546331,589
2196.17949682152,550
2198.05715889004,576
2199.93423166887,575
2201.810715158,571
2203.68660935743,573
2205.56191426717,602
2207.43662988721,578
2209.31075621756,568
2211.18429325821,560
2213.05724100917,591
2214.92959947044,564
2216.801368642,576
2218.67254852388,581
2220.54313911605,561
2222.41314041854,595
2224.28255243132,596
2226.15137515442,578
2228.01960858781,568
2229.88725273152,588
2231.75430758552,576
2233.62077314984,577
2235.48664942445,583
2237.35193640937,578
2239.2166341046,605
2241.08074251013,573
2242.94426162597,564
2244.80719145211,580
2246.66953198856,569
2248.53128323531,546
2250.39244519236,574
2252.25301785973,579
2254.11300123739,594
2255.97239532536,553
2257.83120012364,588
2259.68941563222,595
2261.5470418511,584
2263.40407878029,574
2265.26052641979,561
2267.11638476959,584
2268.97165382969,562
2270.8263336001,565
2272.68042408082,604
2274.53392527184,596
2276.38683717316,574
2278.23915978479,557
2280.09089310673,567
2281.94203713897,552
2283.79259188151,586
2285.64255733436,575
2287.49193349751,618
2289.34072037097,570
2291.18891795474,554
2293.0365262488,596
2294.88354525318,591
2296.72997496786,585
2298.57581539284,556
2300.42106652813,592
2302.26572837372,602
2304.10980092962,576
2305.95328419582,598
2307.79617817233,585
2309.63848285914,574
2311.48019825626,557
2313.32132436368,573
2315.16186118141,594
2317.00180870944,593
2318.84116694778,608
2320.67993589642,584
2322.51811555537,577
2324.35570592462,577
2326.19270700417,565
2328.02911879404,587
2329.8649412942,591
2331.70017450467,589
2333.53481842545,571
2335.36887305653,566
2337.20233839792,564
2339.03521444961,564
2340.8675012116,585
2342.6991986839,588
2344.53030686651,592
2346.36082575942,598
2348.19075536264,615
2350.02009567616,587
2351.84884669998,593
2353.67700843411,636
2355.50458087855,606
2357.33156403329,617
2359.15795789833,625
2360.98376247368,624
2362.80897775933,607
2364.63360375529,601
2366.45764046156,605
2368.28108787813,629
2370.103946005,621
2371.92621484218,624
2373.74789438966,607
2375.56898464745,640
2377.38948561555,601
2379.20939729394,642
2381.02871968265,630
2382.84745278166,631
2384.66559659097,630
2386.48315111059,630
2388.30011634051,619
2390.11649228074,586
2391.93227893127,641
2393.74747629211,622
2395.56208436325,637
2397.3761031447,602
2399.18953263645,644
2401.00237283851,642
2402.81462375087,632
2404.62628537354,638
2406.43735770651,631
2408.24784074978,624
2410.05773450337,645
2411.86703896725,608
2413.67575414144,623
2415.48388002594,622
2417.29141662074,660
2419.09836392585,646
2420.90472194126,645
2422.71049066697,644
2424.51567010299,648
2426.32026024932,644
2428.12426110595,645
2429.92767267289,646
2431.73049495013,641
2433.53272793767,641
2435.33437163552,652
2437.13542604368,660
2438.93589116214,626
2440.7357669909,655
2442.53505352997,642
2444.33375077935,638
2446.13185873903,666
2447.92937740901,671
2449.7263067893,636
2451.52264687989,668
2453.31839768079,652
2455.113559192,678
2456.9081314135,673
2458.70211434532,658
2460.49550798744,652
2462.28831233986,664
2464.08052740259,664
2465.87215317562,664
2467.66318965896,655
2469.4536368526,651
2471.24349475655,690
2473.0327633708,669
